id,created_at,classification_label,full_text
910337479961608193,Wed Sep 20 02:59:03 +0000 2017,0,RT @SarahMcBrideM: Sneak peak at @padcaster Verse! #TotalSolarEclipse Shot in totality on #iPhone7 with Padcaster Verse. #mojo #iphone http…
910894438326718466,Thu Sep 21 15:52:12 +0000 2017,1,"A #TBT to the #totalsolareclipse 1 month ago. While cloudy here, #KState photography services captured the different phases of totality. https://t.co/1tVqml6Rh1"
913403498473021445,Thu Sep 28 14:02:18 +0000 2017,1,"RT @Dr_ThomasZ: ""This #TotalSolarEclipse provided a unique opportunity of seeing the source of space weather with our naked eye."": https://…"
913408009153286144,Thu Sep 28 14:20:14 +0000 2017,1,"RT @Dr_ThomasZ: ""This #TotalSolarEclipse provided a unique opportunity of seeing the source of space weather with our naked eye."": https://…"
913427704816345088,Thu Sep 28 15:38:30 +0000 2017,1,"https://t.co/i6ltqSZ8ZQ : ""This #TotalSolarEclipse provided a unique opportunity of seeing the source… https://t.co/P832f5obEo #Thermopolis https://t.co/qM92p7V7uJ"
914536786843627521,Sun Oct 01 17:05:35 +0000 2017,0,More Americans Watched The #TotalSolarEclipse Than The Super Bowl! #Astronomy https://t.co/lW3cn4Ixap @IFLScience
899669435807657984,Mon Aug 21 16:28:03 +0000 2017,1,"As your prepare for #solareclipse2017, here's our playlist for this momentous day! #solareclipse #totalsolareclipse https://t.co/3bvBamyKwe https://t.co/oapgq9xwls"
899669665399660545,Mon Aug 21 16:28:57 +0000 2017,1,"RT @DeptofDefense: A #totalsolareclipse is happening today. It'll be a sight to behold, but don’t look directly at it! 😎 https://t.co/nLqo4…"
899669984154144768,Mon Aug 21 16:30:13 +0000 2017,0,RT @AppStore: Point your iPhone at the sky to experience next-level stargazing and #TotalSolarEclipse 2017.  Catch your glimpse: https://t.…
910490808410939394,Wed Sep 20 13:08:19 +0000 2017,1,@imbadder it all started with the #totalsolareclipse
910880821971750912,Thu Sep 21 14:58:05 +0000 2017,1,#Number – 1.6 million. The people who came to #SC to view the #TotalSolarEclipse – spending $269 million while they were here. 💰 https://t.co/r3ZAJmGrVC
913404198363987968,Thu Sep 28 14:05:05 +0000 2017,1,"RT Dr_ThomasZ: ""This #TotalSolarEclipse provided a unique opportunity of seeing the source of space weather with o… https://t.co/9zQ1sZvpbv"
913571095957061632,Fri Sep 29 01:08:17 +0000 2017,1,"RT @Dr_ThomasZ: ""This #TotalSolarEclipse provided a unique opportunity of seeing the source of space weather with our naked eye."": https://…"
915409731052802048,Wed Oct 04 02:54:22 +0000 2017,1,RT @kolio_us: Inspired by #TotalSolarEclipse2017 not long ago released #TotalSolarEclipse 2024 #TotalSolarEclipse2024 Countdown https://t.c…
916159120654389250,Fri Oct 06 04:32:10 +0000 2017,0,RT @2GlitterandChic: Total Solar Eclipse - Watercolor Colorful - Digital Faux Gold T-Shirt For Women and Men #tshirts #totalsolareclipse ht…
899669358963720194,Mon Aug 21 16:27:44 +0000 2017,1,"RT @MintJulepTours: #EclipseFacts: Eclipse, a famous race horse, was born during a #totalsolareclipse in 1764. Several Derby winners can be…"
899669635485904897,Mon Aug 21 16:28:50 +0000 2017,0,RT @SarahMGellar: If anyone happens to be by their mayor today...be careful. Just saying. #totalsolareclipse #SolarEclipse #WordsOfWisdom
899670277373779968,Mon Aug 21 16:31:23 +0000 2017,0,RT @SarahMGellar: If anyone happens to be by their mayor today...be careful. Just saying. #totalsolareclipse #SolarEclipse #WordsOfWisdom
