1001-911228774120751105,.,1.0
1001-911228994078380034,neil degrasse tyson nail .,1.0
1001-911230527251902465,today witness viewer treat wealth image highlight .,0.0
1001-911230826137845761,.,1.0
1001-911231546207518721,good .,1.0
1001-911234084222808064,httpstc .,1.0
1001-911234263890235392,honor today enjoy #solareclipse 2017 http .,0.0
1001-911237106885947393,apareci en el cielo una gran seal una mujer vestida del sol la luna debajo sus pie .,1.0
1001-911237728360054784,solar eclipse look pretty sky .,0.0
1001-911240111203000321,.,1.0
1001-911241912027435009,sfmoma staff take morning .,0.0
1001-911242334314082310,live coverage america tune .,0.0
1001-911243569536548864,wow catch mid flight breathtaking .,0.0
1001-911245748162973696,selfie eclipse .,0.0
1001-911250974618071040,wow catch mid flight breathtaking .,0.0
1001-911257239540912129,coolest thing ive experienced definitely worth 7 hour drive httpst .,0.0
1001-911257284151582727,solar eclipse look pretty sky .,0.0
1001-911258518279274496,yes god earth india creator universe .,1.0
1001-911259252165169153,latest single solar eclipse produce .,0.0
1001-911259426962763776,spirit universe .,0.0
1001-911259974046806017,ill just leave .,1.0
1001-911262363822821376,wow catch mid flight breathtaking .,0.0
1001-911264425297842176,bilim insanlarnn tarihin en byk gne tutulmas olarak tanmlad anlar kameraya byle yansd .,1.0
1001-911264963284684801,ha ha ha ive block sun make way moon .,0.0
1001-911267985125511169,.,1.0
1001-911269861912956929,.,1.0
1001-911270248917098497,cosmic ballet go .,0.0
1001-911270688949964806,.,1.0
1001-911276135866040320,stare directly .,0.0
1001-911277978671337472,amazing shot solar eclipse take white house .,0.0
1001-911277996656513024,safety .,0.0
1001-911279333049864200,wow catch mid flight breathtaking .,0.0
1001-911281516956782593,epic shot photo create photographer .,0.0
1001-911282371575529473,member watch tell use 50 r.,1.0
1001-911282823520190465,beautiful clear sky wyome excitement building .,0.0
1001-911284994970075136,right check livestream coverage crossroads .,0.0
1001-911285110279888896,beautiful shot breathtaking .,0.0
1001-911286317962670082,beautiful shot breathtaking .,0.0
1001-911288204581642241,peace chance #pigeongate #solareclipse 2017 war want http .,1.0
1001-911293497533231109,eclipse beautiful .,0.0
1001-911293642098257920,come enjoy .,1.0
1001-911294861327966209,ha ha ha ive block sun make way moon .,0.0
1001-911296999273533445,care look western sky .,0.0
1001-911297692688564224,happy boobclipse day cool ahead stare want #solareclipse 2017 h.,1.0
1001-911298087448043521,beautiful shot breathtaking .,0.0
1001-911298301806485505,donate glass astronomer border @awborg afford protect .,0.0
1001-911300141201723394,waituntil .,1.0
1001-911301314054733825,today moon block sunbut didnt block camera check image .,0.0
1001-911302903180095488,protect eye especially today .,0.0
1001-911305133568425984,beautiful shot breathtaking .,0.0
1001-911305951428399105,.,1.0
1001-911307261447933954,live stream fl .,0.0
1001-911307298315866112,alien box fort tomorrow video morning .,0.0
1001-911308935113650176,solar eclipse look pretty sky .,0.0
1001-911312447516033024,learn w.,0.0
1001-911312511311515648,elgl50 learn govlovepodcast w cityofcorvallis bentoncogov .,0.0
1001-911312891852218368,live w.,0.0
1001-911314560786812928,.,1.0
1001-911314988345757696,elgl50 live w cityofmadras cityofcorvallis bentoncogov .,0.0
1001-911317700349009920,im watch xxxxus .,1.0
1001-911318223743746048,beautiful shot breathtaking .,0.0
1001-911318897378201600,im watch xxxxus .,1.0
1001-911319579355340801,wow catch mid flight breathtaking .,0.0
1001-911320208069070848,highland helena lake ranch bc canada .,0.0
1001-911321694584762368,live w.,1.0
1001-911322127894286336,wow catch mid flight amazing .,0.0
1001-911323464660688896,spirit universe .,1.0
1001-911323671888764928,live w.,0.0
1001-911324003544875008,spirit universe .,1.0
1001-911324031890198528,learn w http .,0.0
1001-911325425657372672,beautiful shot breathtaking .,0.0
1001-911326966808276994,view 2017 .,0.0
1001-911326986722619392,bc hella cool pop6k airport 25k car 425 plane land 821 incl zuckerberg .,0.0
1001-911327790770851840,donald trump bear june 14 1946 lunar eclipse .,1.0
1001-911328047390916609,donald trump bear june 14 1946 lunar eclipse .,1.0
1001-911329019521585153,donald trump bear june 14 1946 lunar eclipse .,1.0
1001-911332108819402752,exciting event stare stunning body .,1.0
1001-911332395751796736,get pull warn pass bus r stevie moore retweet today .,1.0
1001-911332503474057216,exciting event stare stunning body .,1.0
1001-911332551809216513,en 1973 concorde chassait une clipse solaire totale pendant 74min record ingal http .,1.0
1001-911334195284279296,hunt eclipse .,0.0
1001-911337688720138241,ha ha ha ive block sun make way moon .,0.0
1001-911340245328777216,do do send picture question use http .,0.0
1001-911340527437611013,timelapse truly remarkable .,0.0
1001-911341055928340480,beautiful shot breathtaking .,0.0
1001-911348566265868289,solar eclipse look pretty sky .,0.0
1001-911350231400300544,finally get solar eclipse photo .,0.0
1001-911351407000870912,foot traffic drastically change datum prove .,0.0
1001-911357015485767680,marriottrewards good day .,1.0
1001-911358365976186880,real reason have solar eclipse today .,0.0
1001-911358711100317697,fake news tell donald trump look sun show .,0.0
1001-911359196653699073,hell yeah totality .,0.0
1001-911362518060343296,hell yeah totality .,0.0
1001-911363192554688512,get right tonight .,0.0
1001-911364311033040901,wow catch mid flight breathtaking .,0.0
1001-911367065663152128,wow catch mid flight breathtaking .,0.0
1001-911367259955843073,wow .,0.0
1001-911367301911449601,come onnnnnn .,0.0
1001-911368801161158657,wow catch mid flight breathtaking .,0.0
1001-911368923504828416,wow catch mid flight breathtaking .,0.0
1004-899701583734341636,grammy take parker pond .,0.0
1004-899701587030941697,turn bright eye .,0.0
1004-899701611278213123,eclipse glass .,0.0
1004-899701623605387265,.,1.0
1004-899701635428917249,ready eclipse beer bottle .,0.0
1004-899701658061594627,ok think im ready thing double bagging .,0.0
1004-899701659357630470,.,1.0
1004-899701673307844610,reason love solar eclipse nice cool outside .,0.0
1004-899701688247885824,path totality google map traffic look jam .,0.0
1004-899701701988552704,there say total eclipse sun .,0.0
1004-899701703880171520,sure just fine contact .,0.0
1004-899701716601491456,eclipse glass .,0.0
1004-899701719273222145,10 minute til totality ready .,0.0
1004-899701727431208960,cloud ftw .,0.0
1004-899701734704115712,there say total eclipse sun .,0.0
1004-899701759073017856,album drop month .,1.0
1004-899701772465434628,professor get ready .,0.0
1004-899701773568495616,mo ready .,0.0
1004-899701776982708226,grammy take parker pond httpstco .,0.0
1004-899701777406337024,.,1.0
1004-899701791205588992,dont oberyn fan .,1.0
1004-899701792400973829,theres dragonfly smack slide glass door wonder forget #solareclipse 2017 .,0.0
1004-899701802064519169,.,1.0
1004-899701804140699650,eclipse pretty cool do watch .,0.0
1004-899701811485040640,score someone eclipse sunglass feelin 3d movie .,0.0
1004-899701815532498945,share stranger abandon lot highway that .,0.0
1004-899701839762829312,hey need gently use ill access million 3pm today hit u.,0.0
1004-899701884239400963,hope yall great weekendi get try .,0.0
1004-899701886038806532,.,1.0
1004-899701920520052737,view .,0.0
1004-899701940006924290,there say total eclipse sun .,0.0
1004-899701957019021312,there say total eclipse sun .,0.0
1004-899701959539646465,eclipse glass .,0.0
1004-899701959657127937,armpit growth unimpressed .,0.0
1004-899701964920954880,dont oberyn fan .,1.0
1004-899701969857675266,there say total eclipse sun .,0.0
1004-899701980624375808,eclipsewatch saskatchewan science centre regina .,0.0
1004-899701984969797632,.,1.0
1004-899701993052164096,happen cool .,0.0
1004-899702014044667904,eclipse glass .,0.0
1004-899702020617240576,.,1.0
1004-899702023976648704,athen georgium .,1.0
1004-899702024547307521,just do make look like filter .,0.0
1004-899702032910622721,problem .,0.0
1004-899702055295741956,share #eclipse 2017 .,0.0
1004-899702058475028483,hope enjoy picture eclipse corona take .,0.0
1004-899702060739964928,word caution dont wear youre look sun .,0.0
1004-899702084035121154,share rooftop 400 n capitol dc there hope .,0.0
1004-899702086832672770,wow museum aviation robin afb .,0.0
1004-899702112052944899,eclipse glass .,0.0
1004-899702128024932355,dont bogart glass .,0.0
1004-899702130696761348,dont oberyn fan .,1.0
1004-899702156760109057,thank .,0.0
1004-899702157083123713,.,1.0
1004-899702177643589633,manage accidentally look sun like 5 time .,0.0
1004-899702179505860609,warby parker .,0.0
1004-899702184593502209,problem tree leave hand work pinhole camera project crescent sun .,0.0
1004-899702211084775424,partial shot phone .,0.0
1004-899702219515334657,.,0.0
1004-899702223713832960,eclipse glass .,0.0
1004-899702226137956352,eclipse glass .,0.0
1004-899702233675296768,eclipse glass .,0.0
1004-899702265409306624,blind watch eclipse work ask friend .,0.0
1004-899702265841373185,.,1.0
1004-899702268030836736,wait 99 year cloud .,0.0
1004-899702280538214401,eclipse 2017 .,0.0
1004-899702285227483136,hahaha .,1.0
1004-899702307444674560,word caution dont wear youre look sun .,0.0
1004-899702316823085056,.,1.0
1004-899702348074844161,there say total eclipse sun .,0.0
1004-899702378705944576,look directly sun .,0.0
1004-899702382463918081,theres just little notch leave pretty history fun .,0.0
1004-899702382493388800,chloe interested wear .,0.0
1004-899702383504216066,.,1.0
1004-899702388402946048,ustede viendo el eclipse .,1.0
1004-899702399023157249,there say total eclipse sun .,0.0
1004-899702403221643265,cool arlington virginia .,0.0
1004-899702411513786373,word caution dont wear youre look sun .,0.0
1004-899702422523609089,eclipsewatch saskatchewan science centre regina .,0.0
1004-899702434142015489,there say total eclipse sun .,0.0
1004-899702439955320833,hey need gently use ill access million 3pm today hit u.,0.0
1004-899702452064317440,there say total eclipse sun .,0.0
1004-899702459358171136,today great day pinkeye .,0.0
1004-899702465452535809,catch glass .,0.0
1004-899702493348732928,thank ill tune 821 .,0.0
1004-899702501825536004,.,1.0
1004-899702504513912832,there say total eclipse sun .,0.0
1004-899702513527660544,there say total eclipse sun .,0.0
1004-899702540471861248,apparently trend hashtag typo .,0.0
1004-899702544167043072,.,1.0
1004-899702550030667781,wonder goofy ass cereal box .,0.0
1004-899702552190693376,there say total eclipse sun .,0.0
1004-899702561686638594,start .,0.0
1004-899702564169691136,folk boston corner pass ok walk say hey man hit lens .,0.0
1004-899702565130186752,get eclipse kit complete black cupcake .,0.0
1004-899702584734212096,.,0.0
1004-899702594783850497,lleg el gran da .,1.0
1004-899702597380055040,dont oberyn fan .,1.0
1004-899702606632689665,there say total eclipse sun .,0.0
1004-899702609187090432,gafa especiale para ver el eclipse se vendieron en como pan caliente en muchas tiendas se agotaron #solareclipse .,1.0
1004-908871521631899648,smart ppl wear .,0.0
1004-908876941016608768,.,1.0
1004-908905863540346880,fuck awesome space awesome .,0.0
1004-909048896688672768,eclipse glass .,0.0
1004-909049181385494528,dont best option builder office .,0.0
1004-909069649177870339,havent throw eclipse glass second life donate .,0.0
1004-909260866327011328,happy eclipse day .,0.0
1004-909429251148963840,dont best option builder office .,0.0
1004-909499747840360448,eclipse glass click .,0.0
1004-909757612995919873,know need right .,0.0
1004-909797613817483264,stare directly page 9 necessary .,0.0
1004-909798558991130624,.,1.0
1004-909855441588383744,eclipse glass fail meet safety standard .,0.0
1004-909878750216687616,matter wear come look like marty mcfly idiot son bttf2 .,0.0
1004-909909681019195392,thing just beautiful miss bigbswing .,0.0
1004-909961306173734912,want day need .,1.0
1004-910103969841729536,need morning .,0.0
1004-910172743227920384,use undamaged indefinitely read latest blog update .,0.0
1004-910307330390204417,.,1.0
1004-910390449633767424,just eclipse glass whoa .,0.0
1004-910763104845344768,ready .,0.0
1004-910969198343487490,view w projection lamp blind .,0.0
