id,created_at,full_text,classification_label
899661519427907585,Mon Aug 21 15:56:35 +0000 2017,RT @SarahMGellar: If anyone happens to be by their mayor today...be careful. Just saying. #totalsolareclipse #SolarEclipse #WordsOfWisdom,0
899661743030501376,Mon Aug 21 15:57:29 +0000 2017,"Once you get to your eclipse event, stay there until well after the eclipse is over #SolarEclipse2017 #totalsolareclipse",1
899661768355610624,Mon Aug 21 15:57:35 +0000 2017,RT @SarahMGellar: If anyone happens to be by their mayor today...be careful. Just saying. #totalsolareclipse #SolarEclipse #WordsOfWisdom,0
899661989986881538,Mon Aug 21 15:58:27 +0000 2017,RT @SarahMGellar: If anyone happens to be by their mayor today...be careful. Just saying. #totalsolareclipse #SolarEclipse #WordsOfWisdom,0
899662165942161412,Mon Aug 21 15:59:09 +0000 2017,"RT @DeptofDefense: A #totalsolareclipse is happening today. It'll be a sight to behold, but don’t look directly at it! 😎 https://t.co/nLqo4…",1
899662258292350977,Mon Aug 21 15:59:31 +0000 2017,RT @kendraslugoski: No rock concert lineup -- this is a different kind of STAR sighting. #totalsolareclipse @GlobalEdmonton @TWoSEdm #yeg h…,0
899662464974864384,Mon Aug 21 16:00:21 +0000 2017,#Eclipse #totalsolareclipse #Nehelenia #beware https://t.co/f88aGeGaMi,0
899662862762770432,Mon Aug 21 16:01:56 +0000 2017,RT @GMA: That feeling when #Eclipse2017 is FINALLY almost here! #totalsolareclipse https://t.co/0KI8PeIYW3,1
899662940537839617,Mon Aug 21 16:02:14 +0000 2017,Guess who lives in that point #totalsolareclipse https://t.co/uFRlHtB3IN,0
899663914836865026,Mon Aug 21 16:06:06 +0000 2017,RT @SarahMGellar: If anyone happens to be by their mayor today...be careful. Just saying. #totalsolareclipse #SolarEclipse #WordsOfWisdom,0
899664816071200769,Mon Aug 21 16:09:41 +0000 2017,RT @SarahMGellar: If anyone happens to be by their mayor today...be careful. Just saying. #totalsolareclipse #SolarEclipse #WordsOfWisdom,0
899665036116979717,Mon Aug 21 16:10:34 +0000 2017,RT @SarahMGellar: If anyone happens to be by their mayor today...be careful. Just saying. #totalsolareclipse #SolarEclipse #WordsOfWisdom,0
899665054026616834,Mon Aug 21 16:10:38 +0000 2017,RT @INKtastic: Celebrate one of the coolest occurrences in our solar system with some #eclipse swag. #totalsolareclipse https://t.co/ydRFQM…,1
899665247157407744,Mon Aug 21 16:11:24 +0000 2017,"while Nation Witnesses a #TotalSolarEclipse, #Truckers can Avail a #FLAT10%OFF on their  #Form2290 which is #DueNOW, https://t.co/QUR0acdMTY",0
899666382668783616,Mon Aug 21 16:15:55 +0000 2017,RT @SCEMD: Remember DON'T take pictures while driving a vehicle #SolarEclipse2017 #totalsolareclipse #Eclipse2017 @TrooperBob_SCHP,1
899666554647977984,Mon Aug 21 16:16:36 +0000 2017,#TotalSolarEclipse #Eclipse2017: https://t.co/YudJhF1pes via @YouTube,0
899666770469937153,Mon Aug 21 16:17:27 +0000 2017,"#totalsolareclipse @ Seattle, Washington https://t.co/VMQzYbRq13",0
899666793807179779,Mon Aug 21 16:17:33 +0000 2017,RT @jakeandamir: Any glasses are eclipse glasses if you're a BALLER!!! #totalsolareclipse #TrumpResign #gameofthrones #gameofthronesleak #g…,1
899667183382298624,Mon Aug 21 16:19:06 +0000 2017,"Black hole sun, won't you come, won't you come.... 🌑 #totalsolareclipse #blackholesun https://t.co/N8QK6QSRbv",1
899667355478917121,Mon Aug 21 16:19:47 +0000 2017,RT @SarahMGellar: If anyone happens to be by their mayor today...be careful. Just saying. #totalsolareclipse #SolarEclipse #WordsOfWisdom,0
899667632135294976,Mon Aug 21 16:20:53 +0000 2017,RT @SarahMGellar: If anyone happens to be by their mayor today...be careful. Just saying. #totalsolareclipse #SolarEclipse #WordsOfWisdom,0
899667962856189953,Mon Aug 21 16:22:12 +0000 2017,RT @SarahMGellar: If anyone happens to be by their mayor today...be careful. Just saying. #totalsolareclipse #SolarEclipse #WordsOfWisdom,0
899668509206220801,Mon Aug 21 16:24:22 +0000 2017,RT @SarahMGellar: If anyone happens to be by their mayor today...be careful. Just saying. #totalsolareclipse #SolarEclipse #WordsOfWisdom,0
899669232648163329,Mon Aug 21 16:27:14 +0000 2017,"It's starting. #totalsolareclipse @ Rexburg, Idaho https://t.co/4NEX6DhRHw",1
899670762034003968,Mon Aug 21 16:33:19 +0000 2017,The #eclipse is here! Will it reinvigorate national interest in #science and #nature? #TotalSolarEclipse https://t.co/mbsYYnscYr,1
899671365594226689,Mon Aug 21 16:35:43 +0000 2017,RT @ABC7: Here’s how to look for the shadow of the #totalsolareclipse (via @Accuweather) https://t.co/dErzxmXKsl #SolarEclipse2017 https://…,1
899671473337516032,Mon Aug 21 16:36:08 +0000 2017,RT @ReadyHarris: TODAY is the #TotalSolarEclipse. It will peak over Harris County at 1:15pm @SPACEdotcom. To learn more click here. https:/…,1
910241617457451008,Tue Sep 19 20:38:07 +0000 2017,September Fury #TotalSolarEclipse #CentralAmerica #MexicoCityEarthquake - 2 #Earthquake in a week #HurricaneMaria - 4 #Hurricanes in a month,0
910267831484391424,Tue Sep 19 22:22:17 +0000 2017,RT @padcaster: SNEAK PEAK AT PADCASTER VERSE! Check out this video of the #TotalSolarEclipse shot in totality on Padcaster VERSE! https://t…,1
911814342936494080,Sun Sep 24 04:47:34 +0000 2017,"#Throwback to the last #TotalSolarEclipse of the 20th century 38 years ago (February 26, 1979) when I was 5 years... https://t.co/rICS0i1mp0",0
913426766412288000,Thu Sep 28 15:34:46 +0000 2017,"RT @Dr_ThomasZ: ""This #TotalSolarEclipse provided a unique opportunity of seeing the source of space weather with our naked eye."": https://…",1
913455183614676994,Thu Sep 28 17:27:41 +0000 2017,"RT @Dr_ThomasZ: ""This #TotalSolarEclipse provided a unique opportunity of seeing the source of space weather with our naked eye."": https://…",1
913598085682561025,Fri Sep 29 02:55:32 +0000 2017,"RT @Dr_ThomasZ: ""This #TotalSolarEclipse provided a unique opportunity of seeing the source of space weather with our naked eye."": https://…",1
916163085118746624,Fri Oct 06 04:47:55 +0000 2017,RT @2GlitterandChic: Total Solar Eclipse - Watercolor Colorful - Digital Faux Gold T-Shirt For Women and Men #tshirts #totalsolareclipse ht…,0
916221485748051969,Fri Oct 06 08:39:59 +0000 2017,RT @lmariepersaud: Check me out in the #August  issue of #STEM magazine in Celebration of the #TotalSolarEclipse via @stemmagazine   #Art #…,0
916367969130831873,Fri Oct 06 18:22:03 +0000 2017,RT @AstroCamp: Pictured here is a detailed image of the Sun's corona taken during the 2008 #totalsolareclipse. #AstroCamp Credit: https://t…,0
899661355912896513,Mon Aug 21 15:55:56 +0000 2017,RT @SarahMGellar: If anyone happens to be by their mayor today...be careful. Just saying. #totalsolareclipse #SolarEclipse #WordsOfWisdom,0
899661424280076288,Mon Aug 21 15:56:13 +0000 2017,@UWWaukesha is in the news! Wisconsinites hit the road for #totalsolareclipse https://t.co/69NVQ2qNUq,1
899661429548208128,Mon Aug 21 15:56:14 +0000 2017,I'm ready for #TotalSolarEclipse — feeling excited,1
899661464461602821,Mon Aug 21 15:56:22 +0000 2017,RT @SarahMGellar: If anyone happens to be by their mayor today...be careful. Just saying. #totalsolareclipse #SolarEclipse #WordsOfWisdom,0
899661505720758272,Mon Aug 21 15:56:32 +0000 2017,RT @SarahMGellar: If anyone happens to be by their mayor today...be careful. Just saying. #totalsolareclipse #SolarEclipse #WordsOfWisdom,0
899662792134991873,Mon Aug 21 16:01:39 +0000 2017,RT @SailorMoonOfici: #Eclipse #totalsolareclipse #Nehelenia #beware https://t.co/f88aGeGaMi,0
899662911806767106,Mon Aug 21 16:02:07 +0000 2017,Seriously geeking out over the #totalsolareclipse... 🌔🌓🌒🌑🌘🌗,1
899664384431149059,Mon Aug 21 16:07:58 +0000 2017,Got my glasses for this #TotalSolarEclipse .. In the perfect spot ..#EclipseInMissouri 😎🌕🌖🌗🌘🌑🌒🌓🌔☀️ #SolarEclipse https://t.co/C0OjeIftUX,1
899664408984596480,Mon Aug 21 16:08:04 +0000 2017,"#EclipseFacts: Eclipse, a famous race horse, was born during a #totalsolareclipse in 1764. Several Derby winners can be traced his pedigree.",0
899664589394137089,Mon Aug 21 16:08:47 +0000 2017,"while Nation Witnesses a #TotalSolarEclipse, #Truckers can Avail a #FLAT10%OFF on their  #Form2290 which is #DueNOW, https://t.co/prkYXFiIeT",0
899665015996809216,Mon Aug 21 16:10:29 +0000 2017,RT @SarahMGellar: If anyone happens to be by their mayor today...be careful. Just saying. #totalsolareclipse #SolarEclipse #WordsOfWisdom,0
899665489126928384,Mon Aug 21 16:12:22 +0000 2017,RT @SarahMGellar: If anyone happens to be by their mayor today...be careful. Just saying. #totalsolareclipse #SolarEclipse #WordsOfWisdom,0
899665739430461440,Mon Aug 21 16:13:21 +0000 2017,RT @SarahMGellar: If anyone happens to be by their mayor today...be careful. Just saying. #totalsolareclipse #SolarEclipse #WordsOfWisdom,0
899665883311689729,Mon Aug 21 16:13:56 +0000 2017,"RT @Rosco_Labs: In honor of today's #TotalSolarEclipse, the Rosco Color of the Week is #R325 Henna Sky - the corona color of #SolarEclipse2…",1
899665900164464641,Mon Aug 21 16:14:00 +0000 2017,RT @SarahMGellar: If anyone happens to be by their mayor today...be careful. Just saying. #totalsolareclipse #SolarEclipse #WordsOfWisdom,0
899666173532528641,Mon Aug 21 16:15:05 +0000 2017,RT @SCEMD: Remember DON'T take pictures while driving a vehicle #SolarEclipse2017 #totalsolareclipse #Eclipse2017 @TrooperBob_SCHP,1
899666444719452162,Mon Aug 21 16:16:10 +0000 2017,#TOTALsolarECLIPSE  with Celia Fenn - write down all you want to release and all you want to create. DREAM BIG https://t.co/QVMQXVqyTs.,0
899667058539057152,Mon Aug 21 16:18:36 +0000 2017,RT @SarahMGellar: If anyone happens to be by their mayor today...be careful. Just saying. #totalsolareclipse #SolarEclipse #WordsOfWisdom,0
899667556801314816,Mon Aug 21 16:20:35 +0000 2017,RT @SarahMGellar: If anyone happens to be by their mayor today...be careful. Just saying. #totalsolareclipse #SolarEclipse #WordsOfWisdom,0
899667999334051845,Mon Aug 21 16:22:20 +0000 2017,"For all the doomsday ppl, what if the eclipse DOESNT happen today? Think about that. #totalsolareclipse",1
899669400093048833,Mon Aug 21 16:27:54 +0000 2017,RT @JHubb93: Happy #TotalSolarEclipse day! #Eclipse2017 https://t.co/xlv1F0lzo6,1
899669987568357376,Mon Aug 21 16:30:14 +0000 2017,Ha every time they say #Totality take a drink it will make watching the #totalsolareclipse even more FUN! 😜🍺🍷🍸🍹🍾🌕🌖🌗🌘🌑🌒🌓🌔🌕,1
899670084184145921,Mon Aug 21 16:30:37 +0000 2017,"RT @DeptofDefense: A #totalsolareclipse is happening today. It'll be a sight to behold, but don’t look directly at it! 😎 https://t.co/nLqo4…",1
899670400027828225,Mon Aug 21 16:31:53 +0000 2017,RT @jakeandamir: Any glasses are eclipse glasses if you're a BALLER!!! #totalsolareclipse #TrumpResign #gameofthrones #gameofthronesleak #g…,1
899670473327489024,Mon Aug 21 16:32:10 +0000 2017,Ready for the #totalsolareclipse #Eclipse2017? Get more facts on it BBC weather's Ben Rich #FacebookLive: https://t.co/kxHweJ3uwc  NP https://t.co/pa0ne7BAmZ,1
899670505569038336,Mon Aug 21 16:32:18 +0000 2017,RT @goodnet_org: #NASA's #Braille Book Lets the #Blind See a #TotalSolarEclipse: Click https://t.co/mvUrlOISxR #SolarEclipse #Science #Disa…,1
899670602902118400,Mon Aug 21 16:32:41 +0000 2017,"RT @clwillnc: 💡#SpotlightSong:  Total Eclipse of the Heart, by Bonnie Tyler  #TotalSolarEclipse #TotalSolarEclipse2017  🌕🌖🌗🌘🌑   https://t.c…",0
899670628118220800,Mon Aug 21 16:32:47 +0000 2017,.NASA sends 2 aircraft to follow path of #totalsolareclipse AmericaNewsroom https://t.co/ZbFf9EcEKW foxnewsvideo  .NASA sends 2 aircraft t…,1
899670875947053056,Mon Aug 21 16:33:46 +0000 2017,RT @DylanLysen: About 500 Manhattan folk who made the trip to Highland for the total solar eclipse. #totalsolareclipse 🌎🌓🌞 https://t.co/ubW…,1
899671377053200385,Mon Aug 21 16:35:46 +0000 2017,RT @PLVerratti: https://t.co/Lyvtv6iywL  #totalsolareclipse   #Catholic,0
912271483954716672,Mon Sep 25 11:04:05 +0000 2017,RT @marieannbailey: Living in the Moment: Total Solar Eclipse #MondayBlogs #totalsolareclipse https://t.co/UAZbamLkgE https://t.co/ElVjVirX…,0
913403956616990721,Thu Sep 28 14:04:08 +0000 2017,"NASA: ""RT Dr_ThomasZ: ""This #TotalSolarEclipse provided a unique opportunity of seeing the source of space weather… https://t.co/ZHU1Aec5Vf"" https://t.co/oe3rdaC44M",1
913404087600685058,Thu Sep 28 14:04:39 +0000 2017,"RT @Dr_ThomasZ: ""This #TotalSolarEclipse provided a unique opportunity of seeing the source of space weather with our naked eye."": https://…",1
913434605642043392,Thu Sep 28 16:05:55 +0000 2017,"RT @Dr_ThomasZ: ""This #TotalSolarEclipse provided a unique opportunity of seeing the source of space weather with our naked eye."": https://…",1
913443119210909697,Thu Sep 28 16:39:45 +0000 2017,"RT @Dr_ThomasZ: ""This #TotalSolarEclipse provided a unique opportunity of seeing the source of space weather with our naked eye."": https://…",1
913692810980839429,Fri Sep 29 09:11:56 +0000 2017,"RT @Dr_ThomasZ: ""This #TotalSolarEclipse provided a unique opportunity of seeing the source of space weather with our naked eye."": https://…",1
